ORGANIZATION NAME,CONTACT JOB DEPARTMENTS,INDUSTRIES,HEADQUARTERS LOCATION,COUNTRY,DESCRIPTION,FOUNDED DATE,FOUNDED DATE PRECISION,FOUNDERS,NUMBER OF EMPLOYEES,FUNDING STATUS,LAST FUNDING DATE,LAST FUNDING TYPE,NUMBER OF INVESTMENTS,NUMBER OF EXITS,INDUSTRY GROUPS,IPO STATUS,IPO DATE,DELISTED DATE,DELISTED DATE PRECISION,MONEY RAISED AT IPO,MONEY RAISED AT IPO CURRENCY,MONEY RAISED AT IPO CURRENCY (IN USD),VALUATION AT IPO,VALUATION AT IPO CURRENCY,VALUATION AT IPO CURRENCY (IN USD),STOCK EXCHANGE,DIVERSITY SPOTLIGHT (US HEADQUARTERS ONLY),NUMBER OF DIVERSITY INVESTMENTS,TRANSACTION NAME,ACQUIRED BY,ANNOUNCED DATE,ANNOUNCED DATE PRECISION,PRICE,PRICE CURRENCY,PRICE CURRENCY (IN USD),LAST LEADERSHIP HIRING DATE,CB RANK (ORGANIZATION),CB RANK (COMPANY),CB RANK (SCHOOL),LAST LAYOFF MENTION DATE,HEADQUARTERS REGIONS,ESTIMATED REVENUE RANGE,OPERATING STATUS,WEBSITE,TWITTER,FACEBOOK,LINKEDIN,CONTACT EMAIL,PHONENUMBER,NUMBER OF ARTICLES,HUB TAGS,FULL DESCRIPTION,ACTIVELY HIRING,INVESTMENT STAGE,NUMBER OF FOUNDERS (ALUMNI),NUMBER OF FOUNDERS,NUMBER OF FUNDING ROUNDS,TOTAL FUNDING AMOUNT,TOTAL FUNDING AMOUNT CURRENCY,TOTAL FUNDING AMOUNT CURRENCY (IN USD),NUMBER OF ACQUISITIONS,STOCK SYMBOL,SIMILAR COMPANIES,SEMRUSH - MONTHLY VISITS,SEMRUSH - AVERAGE VISITS (6 MONTHS),SEMRUSH - VISIT DURATION,SEMRUSH - MONTHLY VISITS GROWTH,SEMRUSH - VISIT DURATION GROWTH,SEMRUSH - PAGE VIEWS / VISIT,SEMRUSH - PAGE VIEWS / VISIT GROWTH,SEMRUSH - BOUNCE RATE,SEMRUSH - BOUNCE RATE GROWTH,SEMRUSH - GLOBAL TRAFFIC RANK,SEMRUSH - MONTHLY RANK CHANGE (#),SEMRUSH - MONTHLY RANK GROWTH,ABERDEEN - IT SPEND,ABERDEEN - IT SPEND CURRENCY,ABERDEEN - IT SPEND CURRENCY (IN USD),IPQWERY - PATENTS GRANTED,IPQWERY - TRADEMARKS REGISTERED,IPQWERY - MOST POPULAR PATENT CLASS,IPQWERY - MOST POPULAR TRADEMARK CLASS,APPTOPIA - NUMBER OF APPS,APPTOPIA - DOWNLOADS LAST 30 DAYS,ORGANIZATION NAME,INDUSTRY LINKEDIN,WEBSITE,COMPANYLINKEDINURL,FACEBOOKURL,TWITTER URL,COMPANY STREET,COMPANY CITY,COMPANY STATE,COMPANY COUNTRY,COMPANY POSTAL CODE,COMPANY ADDRESS,KEYWORDS,COMPANY PHONE,SEO DESCRIPTION,TECHNOLOGIES,SIC CODES,SHORT DESCRIPTION
Aurum Lake Mining,,Mining,"Bogotá, Distrito Especial, Colombia",Colombia,Aurum Lake Mining focuses on medium-scale gold-mining.,1/1/2021,year,,1 to 10,IPO,,,,,Natural Resources,Public,7/21/2022,,,350,USD,350,"1,650,000",USD,"1,650,000",TSX-V - Toronto TSX Venture Exchange,,,,,,,,,,,"1,283,203","1,253,802",,,Latin America,,Active,aurum-corp.co,,,,,,,,Aurum Lake Mining focuses on medium-scale gold-mining.,,,,,,,,,,ARL/P,,,,,,,,,,,,,,,,,,,,,,,Aurum Lake Mining,Mining & Metals,aurum-corp.co,linkedin.com/company/aurum-corp,,,99 Calle 31,Medellin,Antioquia,Colombia,50016,"99 Calle 31, Medellin, Antioquia, Colombia, 050016","geological, hq geologist, transparency, sustainability, legality, high potencial projects, know how of gold mines, financial structure",,,"Gmail, Google Apps, Apache, Google Font API, WordPress.org, LivePerson Monitor, YouTube, Mobile Friendly, Gusto",,Generation Value and Sustainability for Medium Scale Mines.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We are a company that specializes in identifying and developing high-potential, medium scale gold projects at a low cost. We offer transparency, legality, and sustainability at the social, professional, and environmental level.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We identify high-potential gold-mining projects. Our goal is to give added-value to the mining industry by providing and developing technical, operative, and financial viability to productive gold-mining projects that give way to responsible and sustainable mining at the social, professional, and environmental levels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We constantly look for ways to innovate to generate secure , productive, and responsible methods of executing operations. We believe our company should generate economic and social benefits, and that the places where we mine should reap the benefits of our projects in their communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dubalu México,,"E-Commerce, E-Commerce Platforms, Software","Morelia, Michoacan de Ocampo, Mexico",Mexico,"Dubalu es una plataforma de comercio electrónico y servicios digitales para emprendedores, micro, pequeñas y medianas empresas (SaaS).",8/13/2018,day,Omar Alejandro Aburto Tena,1 to 10,IPO,1/5/2022,Pre-Seed,,,"Commerce and Shopping, Internet Services, Software",Public,1/21/2022,,,250,USD,250,"5,000,000",USD,"5,000,000",AMEX - American Stock Exchange,,,,,,,,,,,"159,878","157,375",,,Latin America,,Active,dubalu.com,twitter.com/dubaluoficial,facebook.com/dubalu,LinkedIn.com/company/dubalu,aburto@dubalu.com,,,,"Dubalu es una plataforma que busca democratizar el comercio electrónico y los servicios digitales, mediante herramientas accesibles, fáciles de usar y de bajo costo para que cualquier persona con acceso a internet pueda comenzar a hacer negocios en línea sin necesidad de tener conocimientos de computación.",,,,1,1,250,USD,250,,DUB,7,,,,,,,,,,,,,,,,,,,,,,Dubalu México,,,,,,,,,,,,,,,,,
Vitru,,"E-Learning, EdTech, Education","Florianópolis, Santa Catarina, Brazil",Brazil,Vitru provides online and tutored post-secondary education services in Brazil.,1/1/1999,year,,1.001 to 5.000,IPO,9/27/2022,Post-IPO Equity,,,"Education, Software",Public,9/17/2020,,,"96,000,000",USD,"96,000,000","368,900,000",USD,"368,900,000",NASDAQ,,,,,,,,,,,"20,347","20,277",,,Latin America,$100M to $500M,Active,vitru.com.br,twitter.com/vitrueducation,,linkedin.com/company/vitrueducation/,ir@vitru.com.br,,15,,Vitru offers distance learning education group in the postsecondary digital education market in Brazil based on the number of enrolled undergraduate students.,,,,,1,"300,000,000",BRL,"55,766,228",,VTRU,86,578,"2,222.17",0,-2.53%,"0,265",1,0,1,0,"6,703,656","-391,99",-5.52%,,,,,,,,1,,Vitru,Higher Education,vitru.com.br,linkedin.com/company/vitrueducation,facebook.com/vitrueducation/,twitter.com/vitrueducation,212 Rodovia José Carlos Daux,Florianópolis,Santa Catarina,Brazil,88030-000,"212 Rodovia José Carlos Daux, Florianópolis, State of Santa Catarina, Brazil, 88030-000",,558667961288,,"Route 53, Outlook, Microsoft Office 365, Google Maps (Non Paid Users), YouTube, WordPress.org, Google Tag Manager, Google Maps, Bootstrap Framework, reCAPTCHA, Nginx, Mobile Friendly, Vimeo, Google Font API, New Relic",,Educação que chega e leva mais longe.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
